0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
350,0,0,17,4,0,5,51,2,0,0,0,1,0,0
0,157,0,0,0,1,0,0,0,0,0,4,0,0,0
0,0,52,0,0,0,0,0,0,5,0,0,0,2,0
1,0,0,20,1,0,1,1,1,0,0,0,0,0,0
0,0,0,0,78,0,3,3,1,0,1,0,0,0,0
0,2,0,0,0,26,0,0,0,0,0,0,0,0,0
5,0,0,0,6,0,134,1,1,0,0,0,0,0,0
5,0,0,3,5,0,1,182,3,0,0,0,1,0,0
0,0,0,0,0,0,0,0,69,0,0,0,0,0,0
0,1,7,0,0,0,0,0,1,55,0,1,1,0,0
0,0,0,0,0,0,1,0,0,1,170,0,2,0,0
0,3,0,0,0,1,0,0,0,0,0,41,1,0,0
0,0,0,0,0,0,1,0,0,0,0,0,14,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,8,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
