0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
362,0,0,8,4,0,9,46,0,0,0,0,1,0,0
1,159,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,53,0,0,0,0,0,0,4,0,0,0,2,0
0,0,0,20,2,0,0,3,0,0,0,0,0,0,0
2,0,0,0,78,0,2,2,2,0,0,0,0,0,0
0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
6,0,0,0,5,0,134,0,1,0,1,0,0,0,0
10,0,0,4,3,0,1,176,5,1,0,0,0,0,0
0,0,0,0,3,0,0,1,64,0,1,0,0,0,0
0,0,4,0,0,0,0,0,0,60,1,1,0,0,0
0,0,1,0,0,0,0,1,0,0,168,0,4,0,0
0,5,0,0,0,2,0,0,0,0,0,39,0,0,0
0,0,0,0,0,0,1,0,0,0,1,0,13,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
