0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
396,0,0,1,6,0,2,23,1,0,0,0,1,0,0
0,160,0,0,0,0,0,0,0,1,0,1,0,0,0
0,0,55,0,0,0,0,0,0,4,0,0,0,0,0
3,0,0,17,2,0,0,3,0,0,0,0,0,0,0
1,0,0,0,76,0,4,5,0,0,0,0,0,0,0
0,1,0,0,0,27,0,0,0,0,0,0,0,0,0
14,0,0,0,6,0,124,3,0,0,0,0,0,0,0
15,0,0,0,2,0,0,181,2,0,0,0,0,0,0
0,0,0,0,2,0,0,0,67,0,0,0,0,0,0
0,1,8,0,1,0,0,1,1,53,0,1,0,0,0
1,0,1,0,0,0,0,0,1,0,171,0,0,0,0
0,7,0,0,0,0,0,0,0,0,0,39,0,0,0
0,0,1,0,0,0,1,0,0,0,3,0,10,0,0
0,0,6,0,0,0,0,0,0,0,0,0,0,3,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
