0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
409,0,0,1,1,0,3,16,0,0,0,0,0,0,0
0,159,0,0,0,0,0,0,0,0,0,3,0,0,0
0,0,52,0,0,0,0,0,0,6,0,0,0,1,0
1,0,0,23,0,0,0,1,0,0,0,0,0,0,0
1,0,0,0,75,0,5,3,1,0,1,0,0,0,0
0,1,0,0,0,27,0,0,0,0,0,0,0,0,0
6,0,0,0,2,0,137,1,0,0,1,0,0,0,0
14,0,0,1,2,0,1,175,6,1,0,0,0,0,0
1,0,0,0,2,0,0,2,64,0,0,0,0,0,0
0,0,4,0,0,0,0,0,1,59,1,1,0,0,0
1,0,0,0,0,0,0,0,1,0,172,0,0,0,0
0,8,0,0,0,1,0,0,0,0,0,37,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,14,0,0
0,0,2,0,0,0,0,0,0,0,0,0,0,7,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
