0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
425,0,0,0,1,0,1,3,0,0,0,0,0,0,0
0,162,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,0,0,0,0,0,0,4,0,0,0,0,0
15,0,0,5,1,0,0,4,0,0,0,0,0,0,0
13,0,0,0,52,0,7,13,0,0,1,0,0,0,0
0,5,0,0,0,23,0,0,0,0,0,0,0,0,0
46,0,0,0,0,0,97,3,1,0,0,0,0,0,0
45,0,0,0,0,0,0,155,0,0,0,0,0,0,0
2,0,0,0,1,0,0,6,59,0,1,0,0,0,0
0,1,3,0,0,0,0,0,0,60,1,1,0,0,0
1,0,0,0,0,0,0,0,0,0,173,0,0,0,0
0,14,0,0,0,0,0,0,0,0,0,32,0,0,0
1,0,0,0,0,0,0,0,0,0,14,0,0,0,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
