0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
419,0,0,0,0,0,4,7,0,0,0,0,0,0,0
0,162,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,0,0,0,0,0,0,4,0,0,0,0,0
9,0,0,11,2,0,0,3,0,0,0,0,0,0,0
4,0,0,0,75,0,5,1,0,0,1,0,0,0,0
0,1,0,0,0,27,0,0,0,0,0,0,0,0,0
5,0,0,0,3,0,137,1,0,0,1,0,0,0,0
31,0,0,0,3,0,1,162,2,1,0,0,0,0,0
0,0,0,0,1,0,0,2,65,0,1,0,0,0,0
0,0,4,0,0,0,0,0,0,60,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,174,0,0,0,0
0,11,0,0,0,1,0,0,0,0,0,34,0,0,0
0,0,0,0,0,0,0,0,0,0,7,0,8,0,0
0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
