0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
384,0,0,2,6,0,4,32,1,0,0,0,1,0,0
0,162,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,56,0,0,0,0,0,0,3,0,0,0,0,0
1,0,0,21,1,0,0,2,0,0,0,0,0,0,0
1,0,0,0,71,0,7,7,0,0,0,0,0,0,0
0,1,0,0,0,27,0,0,0,0,0,0,0,0,0
7,0,0,0,4,0,133,2,1,0,0,0,0,0,0
13,0,0,0,1,0,0,185,1,0,0,0,0,0,0
0,0,0,0,1,0,0,3,64,0,1,0,0,0,0
0,1,4,0,1,0,0,0,1,57,1,1,0,0,0
0,0,0,0,0,0,1,0,0,0,171,0,2,0,0
0,5,0,0,0,1,0,0,0,0,0,40,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,14,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
