0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
400,0,0,3,2,0,1,24,0,0,0,0,0,0,0
0,162,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,55,0,0,0,0,0,0,4,0,0,0,0,0
6,0,0,12,1,0,0,6,0,0,0,0,0,0,0
6,0,0,0,61,0,6,11,1,0,1,0,0,0,0
0,3,0,0,0,25,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,114,6,0,1,0,0,0,0,0
19,0,0,1,2,0,0,177,1,0,0,0,0,0,0
1,0,0,0,2,0,0,3,62,0,1,0,0,0,0
0,1,6,0,0,0,0,0,0,58,0,1,0,0,0
2,0,1,0,0,0,0,0,0,0,171,0,0,0,0
0,9,0,0,0,0,0,0,0,0,0,37,0,0,0
1,0,0,0,0,0,1,0,0,0,9,0,4,0,0
0,0,8,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
