0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
403,0,0,0,0,0,5,22,0,0,0,0,0,0,0
0,162,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,56,0,0,0,0,0,0,3,0,0,0,0,0
5,0,0,14,2,0,1,3,0,0,0,0,0,0,0
3,0,0,0,75,0,5,2,0,0,1,0,0,0,0
0,1,0,0,0,27,0,0,0,0,0,0,0,0,0
4,0,0,0,3,0,138,1,0,0,1,0,0,0,0
17,0,0,0,3,0,1,176,2,1,0,0,0,0,0
0,0,0,0,3,0,0,1,64,0,1,0,0,0,0
0,0,3,0,0,0,0,0,0,62,0,1,0,0,0
0,0,1,0,0,0,0,0,0,0,173,0,0,0,0
0,9,0,0,0,1,0,0,0,0,0,36,0,0,0
1,0,0,0,0,0,0,0,0,0,6,0,8,0,0
0,0,8,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
