0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
389,0,0,6,5,0,2,27,1,0,0,0,0,0,0
0,160,0,0,0,0,0,0,0,0,0,2,0,0,0
0,0,54,0,0,0,0,0,0,4,0,0,0,1,0
1,0,0,22,1,0,0,1,0,0,0,0,0,0,0
0,0,0,0,76,0,5,3,1,1,0,0,0,0,0
0,2,0,0,0,26,0,0,0,0,0,0,0,0,0
5,0,0,0,3,0,134,3,1,1,0,0,0,0,0
12,0,0,1,1,0,0,183,2,0,1,0,0,0,0
0,0,0,0,1,0,0,1,67,0,0,0,0,0,0
0,1,6,0,1,0,0,0,1,55,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,172,0,2,0,0
0,4,0,0,0,0,0,0,1,0,0,41,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,13,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,5,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
