0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
396,0,0,1,3,0,6,24,0,0,0,0,0,0,0
1,160,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,52,0,0,0,0,0,0,7,0,0,0,0,0
3,0,0,18,2,0,0,2,0,0,0,0,0,0,0
2,0,0,0,80,0,3,1,0,0,0,0,0,0,0
0,0,0,0,0,28,0,0,0,0,0,0,0,0,0
3,0,0,0,4,0,139,0,0,0,1,0,0,0,0
16,0,0,1,3,0,1,174,4,1,0,0,0,0,0
1,0,0,0,3,0,0,2,63,0,0,0,0,0,0
0,0,3,0,0,0,0,0,1,61,0,1,0,0,0
2,0,0,0,0,0,0,0,0,0,172,0,0,0,0
0,7,0,0,0,1,0,0,0,0,0,38,0,0,0
1,0,0,0,0,0,1,1,0,0,4,0,8,0,0
0,0,4,0,0,0,0,0,0,0,0,0,0,4,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
