,highly_variable,highly_variable_rank,means,variances,variances_norm
AL669831.5,True,10829.0,0.03549535297607277,0.0356231749512105,0.8883869615288439
LINC00115,True,9680.0,0.017203875815701007,0.017107339623066153,0.9055777266463662
FAM41C,True,4008.0,0.01077714059719201,0.011453109035390706,0.9684815347282529
NOC2L,True,12444.0,0.20071188451651176,0.20454413867610732,0.8296645891620965
KLHL17,True,8714.0,0.0065256080680245205,0.006483665565856854,0.9159971217746768
PLEKHN1,True,3570.0,0.004251532529167491,0.004431640868312651,0.978117153906336
HES4,True,266.0,0.03935139410717817,0.12185683230943756,2.739630926042365
ISG15,True,802.0,0.36879572869290095,0.6384249908015099,1.325933616223808
C1orf159,True,10354.0,0.024520466679849712,0.024514874346227396,0.8971970620009081
TNFRSF18,True,864.0,0.07128732450069211,0.10220526441560422,1.284696890258748
TNFRSF4,True,566.0,0.09620328257860392,0.1702159800307527,1.5425678850784097
SDF4,True,12094.0,0.4038955902709116,0.45575857942680886,0.8504902749943068
B3GALT6,True,8640.0,0.02936523630611034,0.030285624920111134,0.9167159284359727
UBE2J2,True,12488.0,0.2210796915167095,0.22541934240765213,0.8247469267682074
ACAP3,True,6311.0,0.0454815107771406,0.0483613670565129,0.9382696963976181
PUSL1,True,9248.0,0.04736009491793553,0.048879117426511166,0.9106550802126936
INTS11,True,12329.0,0.23205457781293257,0.24111222247335345,0.8378241988361673
CPTP,True,10610.0,0.08908443741348626,0.09045139146548382,0.8925972846120693
DVL1,True,5617.0,0.012161360490409334,0.012607945482021134,0.9455819821172516
MXRA8,True,814.0,0.012161360490409334,0.01755207679814886,1.316386368638331
AURKAIP1,True,12639.0,0.5115681233933161,0.577785674830707,0.8104015391867111
CCNL2,True,11675.0,0.18083844176389163,0.19126337288774956,0.8662295610598059
MRPL20,True,12335.0,0.5094917935534902,0.5936506267001848,0.8368462265537508
ATAD3C,True,5349.0,0.006130116669962428,0.006290906038412175,0.9482750132245811
ATAD3B,True,9578.0,0.032034803243029465,0.03279152810731307,0.9067472182117592
ATAD3A,True,9252.0,0.03816491991299189,0.03928293690433968,0.9106179639227678
SSU72,True,12683.0,0.6668973699822028,0.8037948422298298,0.804321260232414
AL645728.1,True,4045.0,0.046766857820842396,0.05130814558002019,0.9679444609630514
FNDC10,True,1917.0,0.005635752422384813,0.006395605864918821,1.0521758719016525
AL691432.2,True,6049.0,0.030452837650781096,0.03229709542208651,0.941116908272094
MIB2,True,4409.0,0.1571089578801661,0.1822756715048401,0.9615446524951903
MMP23B,True,981.0,0.023333992485663438,0.03188897238933883,1.2299602585609843
CDK11B,True,10603.0,0.13792762507415463,0.14680025343830128,0.892715810801043
SLC35E2B,True,7188.0,0.08226221079691516,0.08637969352486537,0.9303782482104754
CDK11A,True,12143.0,0.19982202887087205,0.2081637179523367,0.8483798051689069
SLC35E2A,True,6042.0,0.021653154043899545,0.022570746491089314,0.9412104087898387
NADK,True,1384.0,0.12675499307890054,0.16805103321199083,1.1212917520732593
GNB1,True,2477.0,0.20476567134664822,0.25540693114220664,1.0138892314400008
PRKCZ,True,11202.0,0.05240261024322721,0.052232435140026304,0.8805694371264572
FAAP20,True,12138.0,0.469942653747281,0.545373535720262,0.8487153046345827
SKI,True,7548.0,0.046667984971326876,0.049043084257246294,0.9271586406700869
MORN1,True,8184.0,0.009986157801067827,0.010085177302688854,0.9210150482419609
RER1,True,11929.0,0.321732252323512,0.35311809066935107,0.857464568797599
PEX10,True,11107.0,0.03589084437413486,0.03579270478514666,0.8827020322949658
PLCH2,True,4167.0,0.008997429305912597,0.009510653014255105,0.9656183715303689
PANK4,True,9247.0,0.04310856238876804,0.04441853720938399,0.9106599621497791
AL139246.5,True,3771.0,0.11795530947201899,0.13470575653118405,0.9734129917694776
TNFRSF14-AS1,True,9650.0,0.022246391140992684,0.022346935824510746,0.9058645562228576
TNFRSF14,True,12687.0,0.6135060312438204,0.7206758702790624,0.8037234686895771
AL139246.3,True,4319.0,0.009294047854459166,0.009801874765319967,0.9628811843811499
FAM213B,True,4325.0,0.0441961637334388,0.04817999750926031,0.9626637167672433
MMEL1,True,2886.0,0.013051216136049041,0.014266512357365885,0.9967824063201537
MEGF6,True,7747.0,0.02155428119438402,0.022080605824149623,0.9252048786416623
TPRG1L,True,6579.0,0.04399841803440775,0.046615317311845116,0.9357244191406767
WRAP73,True,10905.0,0.09907059521455408,0.10113035336646177,0.8869880330609048
SMIM1,True,2137.0,0.012161360490409334,0.01379453699789178,1.0345750348823106
LRRC47,True,12338.0,0.1545382637927625,0.15578529552970846,0.836714554987857
CEP104,True,9735.0,0.09719201107375915,0.10100467251206455,0.9050018995584242
DFFB,True,8583.0,0.023333992485663438,0.023780597030889312,0.9172195615380138
C1orf174,True,11277.0,0.10480522048645442,0.10668510494258311,0.8788286630898785
NPHP4,True,5950.0,0.006723353767055566,0.006876575886862485,0.9419588114949923
KCNAB2,True,10666.0,0.2631006525608068,0.2939670882562767,0.8916225633428313
RPL22,True,13028.0,11.377397666600752,51.91204124459323,0.6776924855668912
RNF207,True,7403.0,0.004844769626260629,0.004821774576121154,0.9285931836253862
ICMT,True,7594.0,0.05111726319952541,0.05365098140273352,0.9268070541833469
ACOT7,True,3117.0,0.01848922285940281,0.020126818483663808,0.9894982091501211
AL031848.2,True,6229.0,0.007019972315602136,0.007169146837297765,0.9391424064115915
ESPN,True,1253.0,0.008799683606881551,0.011096294685947533,1.1524061916857806
TNFRSF25,True,2342.0,0.17807000197745698,0.22172411019861293,1.0207779945893738
PLEKHG5,True,4206.0,0.004943642475776152,0.00511745455119264,0.9650043738056652
NOL9,True,8624.0,0.12230571485070199,0.13207829830215517,0.9168711717445581
ZBTB48,True,10583.0,0.0643662250346055,0.06418447419187892,0.8932006477036692
KLHL21,True,10144.0,0.030749456199327663,0.03119123100187977,0.8997652096279458
PHF13,True,4532.0,0.015028673126359502,0.015793102114584543,0.959105692942214
THAP3,True,9685.0,0.0515127545975875,0.052819327089355717,0.9055485778452237
DNAJC11,True,8778.0,0.06080680245204667,0.06245464417007739,0.9154047153577104
CAMTA1-DT,True,3104.0,0.0037571682815898755,0.003941187343547871,0.9899907761556058
CAMTA1,True,11382.0,0.20921494957484674,0.225778816048609,0.8758807328780498
VAMP3,True,7439.0,0.12645837453035397,0.13875800840261712,0.9282429645488399
PER3,True,7245.0,0.018785841407949377,0.019225817278007432,0.9298574979727577
UTS2,True,7666.0,0.005141388174807198,0.005115460082558099,0.9260185770195647
TNFRSF9,True,1587.0,0.00553687957286929,0.0064955932704360035,1.0885075885114228
PARK7,True,12264.0,1.0931382242436227,1.6721312956355743,0.8419471590041009
SLC45A1,True,3674.0,0.004350405378683014,0.0045296729124234105,0.976023715024658
RERE,True,9064.0,0.15987739766660075,0.17625613052240457,0.9122090626022984
AL096855.1,True,2497.0,0.004548151077714059,0.0049234435924478525,1.0127562423365908
ENO1,True,3884.0,1.2391734229780502,2.31785221890791,0.9710988983553106
ENO1-AS1,True,2590.0,0.0031639311844967374,0.003351997844566016,1.0080261499266288
CA6,True,1548.0,0.003658295432074352,0.004238568483042941,1.0948364522102203
SLC2A5,True,3279.0,0.003954913980620921,0.004137427414295976,0.9849454649102297
GPR157,True,1769.0,0.008997429305912597,0.010499479277480647,1.0660140861664895
H6PD,True,5008.0,0.040636741150879965,0.04373561746138558,0.9521894713163322
SPSB1,True,3569.0,0.004251532529167491,0.004431640868312651,0.978117153906336
SLC25A33,True,5885.0,0.06209214949574847,0.06555978741389018,0.9427616713911648
TMEM201,True,5819.0,0.009294047854459166,0.009604109512674857,0.9434538355060038
PIK3CD,True,10817.0,0.24609452244413685,0.27256706552324794,0.8886710385395874
PIK3CD-AS1,True,2760.0,0.003361676883527783,0.0035484725586828877,1.0014437159564138
PIK3CD-AS2,True,4844.0,0.005635752422384813,0.005802310106983489,0.9545695630411735
CLSTN1,True,8319.0,0.13011666996242832,0.1418734759546563,0.919652851647663
CTNNBIP1,True,2177.0,0.09551117263199525,0.11289787473919685,1.0313478657996997
LZIC,True,10578.0,0.11746094522444137,0.12305511688651921,0.8933648210137729
NMNAT1,True,7862.0,0.02175202689341507,0.022269806593834582,0.9242331785649436
RBP7,True,328.0,0.10668380462724936,0.2766625308817563,2.234537113855127
UBE4B,True,6797.0,0.08849120031639311,0.09391875563302993,0.9337660088170819
KIF1B,True,8528.0,0.03055171050029662,0.03159888474788965,0.917666454535324
PGD,True,658.0,0.30828554478940084,0.5739904747697678,1.462523589793022
DFFA,True,4242.0,0.08918331026300177,0.09784996085659865,0.9644106185076875
PEX14,True,9908.0,0.04943642475776152,0.05055688595086762,0.9026746787179742
CASZ1,True,8073.0,0.009689539252521258,0.009794366177519323,0.9222574970430732
TARDBP,True,8241.0,0.04637136642278031,0.04837850579923981,0.920422457879833
AL109811.3,True,3744.0,0.0044492782281985365,0.004627685402920111,0.9740116555271081
SRM,True,10692.0,0.1600751433656318,0.17243531522703848,0.8912287582169574
EXOSC10,True,11794.0,0.15117658690923472,0.1568131116993741,0.8626144922073814
MTOR,True,4618.0,0.07474787423373541,0.08004455721143933,0.9580341210763688
UBIAD1,True,11602.0,0.11696658097686376,0.11911683325466033,0.8688160448330025
FBXO2,True,7295.0,0.012556851888471426,0.01279593392763418,0.9294551964807158
FBXO44,True,10599.0,0.09590666403005735,0.09818753444980276,0.8928692087971866
FBXO6,True,1815.0,0.06881550326280403,0.08148960839801092,1.061688494843766
MAD2L2,True,10741.0,0.1686770812734823,0.18236298816844276,0.890140594775491
DRAXIN,True,3975.0,0.006723353767055566,0.007074341139507595,0.9690488524400055
AGTRAP,True,845.0,0.3782875222463911,0.6439901057930767,1.2983798948490002
MTHFR,True,2264.0,0.06317975084041923,0.07244419452318555,1.0255050591058015
CLCN6,True,4464.0,0.029068617757563774,0.031390668088527376,0.9603345330944653
KIAA2013,True,9100.0,0.034012260233339926,0.03503409299710564,0.9118953081440065
PLOD1,True,2307.0,0.04192208819458177,0.04847473891085682,1.0227375846959936
